species,speed,irrigation,position x,position y,value
Chlorophytum comosum variegatum,fast,after,a,3,0.154
Chlorophytum comosum variegatum,fast,after,b,3,0.233
Chlorophytum comosum variegatum,fast,after,c,3,0.112
Chlorophytum comosum variegatum,fast,after,d,3,0.093
Chlorophytum comosum variegatum,fast,after,a,4,0.281
Chlorophytum comosum variegatum,fast,after,b,4,0.231
Chlorophytum comosum variegatum,fast,after,c,4,0.267
Chlorophytum comosum variegatum,fast,after,d,4,0.118
Chlorophytum comosum variegatum,fast,after,a,1,0.11
Chlorophytum comosum variegatum,fast,after,b,1,0.149
Chlorophytum comosum variegatum,fast,after,c,1,0.104
Chlorophytum comosum variegatum,fast,after,d,1,0.087
Chlorophytum comosum variegatum,fast,after,a,2,0.228
Chlorophytum comosum variegatum,fast,after,b,2,0.192
Chlorophytum comosum variegatum,fast,after,c,2,0.073
Chlorophytum comosum variegatum,fast,after,d,2,0.154
Chlorophytum comosum variegatum,fast,after,a,3,0.142
Chlorophytum comosum variegatum,fast,after,b,3,0.202
Chlorophytum comosum variegatum,fast,after,c,3,0.182
Chlorophytum comosum variegatum,fast,after,d,3,0.16
Chlorophytum comosum variegatum,fast,after,a,4,0.088
Chlorophytum comosum variegatum,fast,after,b,4,0.074
Chlorophytum comosum variegatum,fast,after,c,4,0.155
Chlorophytum comosum variegatum,fast,after,d,4,0.13
Nematanthus wettsteinii,fast,after,a,1,0.069
Nematanthus wettsteinii,fast,after,b,1,0.15
Nematanthus wettsteinii,fast,after,c,1,0.058
Nematanthus wettsteinii,fast,after,d,1,0.029
Nematanthus wettsteinii,fast,after,a,2,0.209
Nematanthus wettsteinii,fast,after,b,2,0.029
Nematanthus wettsteinii,fast,after,c,2,0.101
Nematanthus wettsteinii,fast,after,d,2,0.026
Nematanthus wettsteinii,fast,after,a,3,0.151
Nematanthus wettsteinii,fast,after,b,3,0.034
Nematanthus wettsteinii,fast,after,c,3,0.059
Nematanthus wettsteinii,fast,after,d,3,0.03
Nematanthus wettsteinii,fast,after,a,4,0.296
Nematanthus wettsteinii,fast,after,b,4,0.052
Nematanthus wettsteinii,fast,after,c,4,0.169
Nematanthus wettsteinii,fast,after,d,4,0.068
Nematanthus wettsteinii,fast,after,a,1,0.101
Nematanthus wettsteinii,fast,after,b,1,0.119
Nematanthus wettsteinii,fast,after,c,1,0.135
Nematanthus wettsteinii,fast,after,d,1,0.06
Nematanthus wettsteinii,fast,after,a,2,0.28
Nematanthus wettsteinii,fast,after,b,2,0.223
Nematanthus wettsteinii,fast,after,c,2,0.162
Nematanthus wettsteinii,fast,after,d,2,0.168
Nematanthus wettsteinii,fast,after,a,3,0.329
Nematanthus wettsteinii,fast,after,b,3,0.311
Nematanthus wettsteinii,fast,after,c,3,0.259
Nematanthus wettsteinii,fast,after,d,3,0.245
Nematanthus wettsteinii,fast,after,a,4,0.33
Nematanthus wettsteinii,fast,after,b,4,0.368
Nematanthus wettsteinii,fast,after,c,4,0.3
Nematanthus wettsteinii,fast,after,d,4,0.309
Nematanthus wettsteinii,fast,after,a,1,0.215
Nematanthus wettsteinii,fast,after,b,1,0.231
Nematanthus wettsteinii,fast,after,c,1,0.14
Nematanthus wettsteinii,fast,after,d,1,0.037
Nematanthus wettsteinii,fast,after,a,2,0.279
Nematanthus wettsteinii,fast,after,b,2,0.225
Nematanthus wettsteinii,fast,after,c,2,0.291
Nematanthus wettsteinii,fast,after,d,2,0.186
Nematanthus wettsteinii,fast,after,a,3,0.345
Nematanthus wettsteinii,fast,after,b,3,0.253
Nematanthus wettsteinii,fast,after,c,3,0.231
Nematanthus wettsteinii,fast,after,d,3,0.25
Nematanthus wettsteinii,fast,after,a,4,0.269
Nematanthus wettsteinii,fast,after,b,4,0.231
Nematanthus wettsteinii,fast,after,c,4,0.309
Nematanthus wettsteinii,fast,after,d,4,0.273
Spathiphyllum Chico,fast,after,a,1,0.041
Spathiphyllum Chico,fast,after,b,1,0.092
Spathiphyllum Chico,fast,after,c,1,0.055
Spathiphyllum Chico,fast,after,d,1,0.118
Spathiphyllum Chico,fast,after,a,2,0.191
Spathiphyllum Chico,fast,after,b,2,0.106
Spathiphyllum Chico,fast,after,c,2,0.16
Spathiphyllum Chico,fast,after,d,2,0.043
Spathiphyllum Chico,fast,after,a,3,0.234
Spathiphyllum Chico,fast,after,b,3,0.179
Spathiphyllum Chico,fast,after,c,3,0.114
